--------------------------------------------------------------------------------
[06 Apr 2022, 12:28:16.6 pm:ERROR:publisher.cc(774)] Publisher info not found
--------------------------------------------------------------------------------
[07 Apr 2022, 2:47:55.5 pm:ERROR:publisher.cc(774)] Publisher info not found
[07 Apr 2022, 2:47:55.5 pm:ERROR:publisher.cc(774)] Publisher info not found
[07 Apr 2022, 2:56:40.5 pm:ERROR:publisher.cc(774)] Publisher info not found
[07 Apr 2022, 2:56:40.5 pm:ERROR:publisher.cc(774)] Publisher info not found
[07 Apr 2022, 5:47:30.1 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 5:47:30.1 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 5:54:04.1 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 5:54:04.1 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 5:56:43.1 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 5:56:43.1 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 5:56:59.1 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 5:56:59.1 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 5:57:43.1 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 5:57:43.1 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 5:59:44.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 5:59:44.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 6:00:09.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 6:00:09.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 6:15:16.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 6:15:16.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 6:22:53.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 6:22:53.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 9:51:24.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 9:51:24.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 9:52:15.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 9:52:15.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 10:23:32.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 10:23:32.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 10:25:23.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 10:25:23.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 10:34:06.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 10:34:06.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 10:52:42.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 10:52:42.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 11:02:52.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 11:02:52.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 11:09:18.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 11:09:18.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 11:10:46.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 11:10:46.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 11:38:59.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 11:38:59.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 11:39:50.2 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 11:39:50.2 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 11:48:31.3 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 11:48:31.3 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[07 Apr 2022, 11:56:15.3 pm:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[07 Apr 2022, 11:56:15.3 pm:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:07:42.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:07:42.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:09:10.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:09:10.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:10:22.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:10:22.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:18:03.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:18:03.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:18:22.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:18:22.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:26:10.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:26:10.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
