a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aic94xx-firmware 30-9
alacritty 0.10.1-1
alsa-card-profiles 1:0.3.51-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
aom 3.3.0-1
appstream 0.15.3-1
arandr 0.1.10-7
arch-install-scripts 24-2
archlinux-keyring 20220424-1
arcolinux-alacritty-git 22.02-02
arcolinux-betterlockscreen-git 22.02-02
arcolinux-grub-theme-vimix-git 20211231-6
arcolinux-keyring 20230919-6
arcolinux-logout-git 22.03-01
arcolinux-mirrorlist-git 22.04-01
arcolinux-paru-git 21.07-01
arcolinux-systemd-services-git 21.08-05
arcolinux-wallpapers-candy-git 21.11-01
arcolinux-wallpapers-git 22.03-01
arcolinuxd-system-config-git 22.05-01
arcolinuxd-welcome-app-git 22.02-01
argon2 20190702-4
asciinema 2.1.0-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bat 0.20.0-2
bc 1.07.1-4
betterlockscreen-git r186.c48455f-1
bind 9.18.2-1
binutils 2.38-4
bison 3.8.2-4
bluez-libs 5.64-2
boost-libs 1.78.0-2
brave-bin 1:1.38.111-1
broadcom-wl-dkms 6.30.223.271-29
brotli 1.0.9-8
bspwm 0.9.10-2
btrfs-progs 5.17-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.78-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
catfish 4.16.3-2
cava 0.8.2-1
cdparanoia 10.2-8
chaotic-keyring 20220220-1
chromaprint 1.5.1-3
cifs-utils 6.15-1
clipmenu 6.2.0-2
clipnotify 1.0.2-2
clonezilla 3.35.2-3
coreutils 9.1-1
cracklib 2.9.7-2
cryptsetup 2.4.3-2
curl 7.83.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
ddcutil 1.2.2-1
ddrescue 1.26-1
desktop-file-utils 0.26-2
device-mapper 2.03.15-1
dex 0.9.0-1
dhclient 4.4.3-1
dialog 1:1.3_20220414-1
diffutils 3.8-1
ding-libs 0.6.1-4
dkms 3.0.3-1
dmenu 5.1-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
dosfstools 4.2-2
double-conversion 3.2.0-1
drbl 2.30.5-1
duf-bin 0.6.2-2
dunst 1.8.1-1
e2fsprogs 1.46.5-3
ecryptfs-utils 111-5
edid-decode-git r621.8a8d673-1
edk2-shell 202202-2
efibootmgr 17-2
efivar 38-2
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
ethtool 1:5.17-1
exa 0.10.1-5
exfatprogs 1.1.3-1
exo 4.16.3-1
expac 10-5
expat 2.4.8-1
f2fs-tools 1.14.0-3
faac 1.30-3
faad2 2.10.0-1
fakeroot 1.28-1
fatresize 1.1.0-1
feh 3.8-2
ffmpeg 2:5.0-6
ffmpegthumbnailer 2.2.2-4
fftw 3.3.10-2
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
flac 1.3.4-2
flameshot 11.0.0-5
flex 2.6.4-3
fluidsynth 2.2.7-1
fontconfig 2:2.14.0-1
freetype2 2.12.1-1
fribidi 1.0.12-1
fsarchiver 0.8.6-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fzf 0.30.0-1
gawk 5.1.1-1
gc 8.2.0-3
gcc 11.2.0-4
gcc-libs 11.2.0-4
gconf 3.2.6+11+g07808097-10
gcr 3.41.0-2
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gettext 0.21-2
giflib 5.2.1-2
girara 0.3.7-1
git 2.36.0-1
gksu 2.0.2-6
glava 1.6.3-2
glib-networking 1:2.72.0-1
glib2 2.72.1-1
glibc 2.35-3
glibmm 2.66.4-1
glslang 11.9.0-1
gmp 6.2.1-1
gnu-netcat 0.7.1-8
gnupg 2.2.35-1
gnutls 3.7.4-2
go 2:1.18.1-1
gobject-introspection-runtime 1.72.0-1
gpart 0.3-4
gparted 1.4.0-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06-5
gruvbox-material-gtk-theme-git r14.cc255d43-1
gruvbox-material-icon-theme-git r14.cc255d43-1
gsettings-desktop-schemas 42.0-1
gsm 1.0.19-1
gssdp 1.4.0.1-1
gssproxy 0.8.4-1
gst-plugins-bad 1.20.2-1
gst-plugins-bad-libs 1.20.2-1
gst-plugins-base 1.20.2-1
gst-plugins-base-libs 1.20.2-1
gst-plugins-good 1.20.2-1
gst-plugins-ugly 1.20.2-1
gstreamer 1.20.2-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.6.3-1
gtk2 2.24.33-2
gtk3 1:3.24.33-3
gtk4 1:4.6.3-1
gtkmm3 3.24.6-1
guile 2.2.7-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gvfs 1.50.1-1
gzip 1.12-1
harfbuzz 4.2.1-1
hdparm 9.63-2
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
htop 3.2.0-1
http-parser 2.9.4-1
hw-probe 1.6-1
hwdata 0.358-1
hwinfo 21.80-2
hwloc 2.7.1-1
i2c-tools 4.3-3
i3lock-color 2.13.c.4-1
iana-etc 20220427-1
icu 71.1-1
imagemagick 7.1.0.32-1
imath 3.1.5-1
imlib2 1.9.0-3
iniparser 4.1-4
iproute2 5.17.0-3
iptables 1:1.8.7-1
iputils 20211215-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
irssi 1.2.3-2
iso-codes 4.9.0-1
iw 5.16-1
jansson 2.14-2
jemalloc 1:5.2.1-6
jfsutils 1.1.15-8
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kbd 2.4.0-2
keyutils 1.6.3-1
kguiaddons 5.93.0-1
kmod 29-3
krb5 1.19.3-1
l-smash 2.14.5-2
lame 3.100-3
laptop-detect 0.16-1
lbzip2 2.5-5
lcms2 2.13.1-1
ldb 2:2.5.0-1
ldns 1.8.1-1
less 1:590-1
libaio 0.3.113-1
libarchive 3.6.1-1
libass 0.15.2-2
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libavtp 0.2.0-1
libblockdev 2.26-3
libbluray 1.3.0-2
libbpf 0.7.0-1
libbs2b 3.1.0-7
libbsd 0.11.6-2
libbytesize 2.6-3
libcaca 0.99.beta20-1
libcanberra 1:0.30+r2+gc0620e4-1
libcap 2.64-1
libcap-ng 0.8.3-1
libcbor 0.9.0-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
